Position,Organization Name,Type,Contact,Membership
1,3D Printed Prosthetics Club,Student Organization,,Lifetime membership
2,Adam Smith Society,Graduate Student Organization - Cox School of Business,Contact: Email group officers,(12 Months)
3,Advertising Club,Student Organization,,Lifetime membership
4,African Student Association,Student Organization,"Contact: Aguer Atem, Suvwe Kokoricha",Lifetime membership
5,Aggie Mustang Law Society,Graduate Student Organization - Dedman School of Law,Contact: Shelby Lepley,Lifetime membership
6,Air & Space Law Society,Graduate Student Organization - Dedman School of Law,Contact: Ali Vannett,Lifetime membership
7,Alliance of Graduate International Lyle Engineers,Student Organization,,Lifetime membership
8,Alpha Chi Omega,Student Organization,,Lifetime membership
9,Alpha Epsilon Delta/Pre-Health Professions Society,Student Organization,"Contact: Apurva Veeraswamy, Bianca Batista, Email group officers",Lifetime membership
10,Alpha Epsilon Pi,Student Organization,,Lifetime membership
11,"Alpha Kappa Alpha Sorority, Inc.",Student Organization,,Lifetime membership
12,Alpha Kappa Psi,Student Organization,,Lifetime membership
13,"Alpha Phi Alpha Fraternity, Inc.",Student Organization,,Lifetime membership
14,Alpha Phi Omega,Student Organization,"Contact: Katie Barlow, Julia Cunningham",Lifetime membership
15,Alternative Breaks,Student Organization,,Lifetime membership
16,Altshuler Learning Enhancement Center,Department,,Lifetime membership
17,American Constitution Society,Graduate Student Organization - Dedman School of Law,Contact: Madeline Boche,Lifetime membership
18,American Society of Civil Engineers,Student Organization,Contact: Alex Hutton,Lifetime membership
19,Anthropology Club of Southern Methodist University,Student Organization,,Lifetime membership
20,Antioch College Ministry,Student Organization,,Lifetime membership
21,Applied Physiology Club,"Student Organization - Professional, Dedman College of Humanities and Sciences",,Lifetime membership
22,Arab Culture Club,Student Organization,"Contact: Laila Abdelghany, Veronica Seeling",Lifetime membership
23,Armstrong Commons,Residence Life,,Lifetime membership
24,Artificial Intelligence Club at SMU,Student Organization,Contact: Gabriel Mongaras,Lifetime membership
25,Ascend Pan Asian Leaders (Ascend),Student Organization,,Lifetime membership
26,Asian Council,Student Organization,,Lifetime membership
27,South Asian Student Association,Student Organization,"Contact: Ashish Doma, Email group officers",Lifetime membership
28,Asian Pacific American Law Student Association,Graduate Student Organization - Dedman School of Law,Contact: Miriam Wang,Lifetime membership
29,ASL Club,Student Organization,"Contact: Zelda Shirk, Email group officers",Lifetime membership
30,Association for Public Interest Law,Graduate Student Organization - Dedman School of Law,Contact: Laura Burstein,Lifetime membership
31,Association of Asian and Pacific American Scholars & Allies,Department,,Lifetime membership
32,Association of Black Students,Student Organization,Contact: Damondre Lynn,Lifetime membership
33,Association of International Petroleum Negotiators,Graduate Student Organization - Dedman School of Law,Contact: Kasey Ellrich,Lifetime membership
34,Association of Iranian Students,Student Organization - Affinity/Identity,Contact: Bahar Salehi,Lifetime membership
